Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated,Percent_Left
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2025-02-24 16:00:00,33.3
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2025-02-24 16:00:00,0.0
