Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated,Percent_Left
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Tipuana,TN,2 Bd/4 Person,Male,0,2025-03-04 15:01:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2025-03-04 15:01:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2025-03-04 15:01:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Female,49,2025-03-04 15:01:00,16.7
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Male,106,2025-03-04 15:01:00,58.9
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2025-03-04 15:01:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2025-03-04 15:01:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2025-03-04 15:01:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2025-03-04 15:01:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2025-03-04 15:01:00,0.0
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,736,2025-02-18 10:00:00,98.1
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,33,2025-02-18 10:00:00,100.0
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,457,2025-02-18 10:00:00,98.9
De Neve Residence Hall,DN,Deluxe Triple,Female,271,2025-02-18 10:00:00,99.3
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,33,2025-02-18 10:00:00,100.0
De Neve Residence Hall,DN,Deluxe Triple,Male,126,2025-02-18 10:00:00,100.0
Dykstra Hall,DYK,Classic Triple,Female,468,2025-02-18 10:00:00,100.0
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2025-02-18 10:00:00,100.0
Dykstra Hall,DYK,Classic Triple,Male,260,2025-02-18 10:00:00,99.6
Hedrick Hall,HED,Classic Triple,Female,588,2025-02-18 10:00:00,100.0
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2025-02-18 10:00:00,100.0
Hedrick Hall,HED,Classic Triple,Male,366,2025-02-18 10:00:00,100.0
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,264,2025-02-18 10:00:00,100.0
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,18,2025-02-18 10:00:00,100.0
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,168,2025-02-18 10:00:00,100.0
Olympic / Centennial,OC,Deluxe Triple,Female,993,2025-02-18 10:00:00,99.4
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,81,2025-02-18 10:00:00,100.0
Olympic / Centennial,OC,Deluxe Triple,Male,582,2025-02-18 10:00:00,98.0
Rieber Hall,RIE,Classic Triple,Female,564,2025-02-18 10:00:00,99.5
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2025-02-18 10:00:00,100.0
Rieber Hall,RIE,Classic Triple,Male,381,2025-02-18 10:00:00,100.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,15,2025-02-18 10:00:00,71.4
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,13,2025-02-18 10:00:00,86.7
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,1,2025-02-18 10:00:00,100.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,434,2025-02-18 10:00:00,99.1
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2025-02-18 10:00:00,100.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,267,2025-02-18 10:00:00,98.9
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2025-02-18 10:00:00,0.0
Rieber Vista,RV,Plaza Triple/Private Bath,Male,3,2025-02-18 10:00:00,100.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,408,2025-02-18 10:00:00,100.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,30,2025-02-18 10:00:00,100.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,252,2025-02-18 10:00:00,100.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,249,2025-02-18 10:00:00,96.5
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,18,2025-02-18 10:00:00,100.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,138,2025-02-18 10:00:00,92.0
Sproul Landing / Cove,SLC,Deluxe Triple,Female,569,2025-02-18 10:00:00,95.3
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,40,2025-02-18 10:00:00,88.9
Sproul Landing / Cove,SLC,Deluxe Triple,Male,348,2025-02-18 10:00:00,95.9
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,411,2025-02-18 10:00:00,99.3
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2025-02-18 10:00:00,100.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,252,2025-02-18 10:00:00,100.0
Sproul Hall,SPR,Classic Triple,Female,571,2025-02-18 10:00:00,98.6
Sproul Hall,SPR,Classic Triple,Gender Inclusive,51,2025-02-18 10:00:00,100.0
Sproul Hall,SPR,Classic Triple,Male,360,2025-02-18 10:00:00,97.6
Sunset Village,SV,Plaza Triple/Private Bath,Female,504,2025-02-18 10:00:00,99.4
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,39,2025-02-18 10:00:00,100.0
Sunset Village,SV,Plaza Triple/Private Bath,Male,306,2025-02-18 10:00:00,99.0
Sunset Village,SV,Plaza Triple/Shared Bath,Female,456,2025-02-18 10:00:00,100.0
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,36,2025-02-18 10:00:00,100.0
Sunset Village,SV,Plaza Triple/Shared Bath,Male,282,2025-02-18 10:00:00,100.0
Gayley Court Apartments,GC,2 Bd/4 Person,Female,157,2025-02-18 10:00:00,95.7
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,2,2025-02-18 10:00:00,16.7
Gayley Court Apartments,GC,2 Bd/4 Person,Male,100,2025-02-18 10:00:00,100.0
Gayley Heights,GH,1 Bd/3 Person,Female,0,2025-02-18 10:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,3,2025-02-18 10:00:00,100.0
Gayley Heights,GH,1 Bd/3 Person,Male,0,2025-02-18 10:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Female,2,2025-02-18 10:00:00,25.0
Gayley Heights,GH,2 Bd/5 Person-Double,Male,4,2025-02-18 10:00:00,100.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,5,2025-02-18 10:00:00,41.7
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,6,2025-02-18 10:00:00,100.0
Gayley Heights,GH,2 Bd/6 Person,Female,384,2025-02-18 10:00:00,97.0
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,20,2025-02-18 10:00:00,66.7
Gayley Heights,GH,2 Bd/6 Person,Male,230,2025-02-18 10:00:00,95.8
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,40,2025-02-18 10:00:00,90.9
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,4,2025-02-18 10:00:00,100.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,28,2025-02-18 10:00:00,100.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,33,2025-02-18 10:00:00,100.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,3,2025-02-18 10:00:00,100.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,21,2025-02-18 10:00:00,100.0
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2025-02-18 10:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Male,2,2025-02-18 10:00:00,100.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2025-02-18 10:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,6,2025-02-18 10:00:00,100.0
Gayley Heights,GH,4 Bd/10 Person-Double,Female,70,2025-02-18 10:00:00,100.0
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,4,2025-02-18 10:00:00,100.0
Gayley Heights,GH,4 Bd/10 Person-Double,Male,40,2025-02-18 10:00:00,90.9
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,108,2025-02-18 10:00:00,100.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,6,2025-02-18 10:00:00,100.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,60,2025-02-18 10:00:00,90.9
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2025-02-18 10:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,2,2025-02-18 10:00:00,100.0
Glenrock Apartments,GR,2 Bd/4 Person,Female,74,2025-02-18 10:00:00,88.1
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2025-02-18 10:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Male,45,2025-02-18 10:00:00,86.5
Glenrock West Apartments,GW,1 Bd/3 Person,Female,6,2025-02-18 10:00:00,66.7
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,1,2025-02-18 10:00:00,33.3
Glenrock West Apartments,GW,1 Bd/3 Person,Male,6,2025-02-18 10:00:00,66.7
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,6,2025-02-18 10:00:00,100.0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,2,2025-02-18 10:00:00,100.0
Glenrock West Apartments,GW,2 Bd/4 Person,Female,37,2025-02-18 10:00:00,77.1
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2025-02-18 10:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Male,2,2025-02-18 10:00:00,8.3
Laurel,LA,2 Bd/4 Person,Female,36,2025-02-18 10:00:00,90.0
Laurel,LA,2 Bd/4 Person,Gender Inclusive,4,2025-02-18 10:00:00,100.0
Laurel,LA,2 Bd/4 Person,Male,4,2025-02-18 10:00:00,33.3
Laurel,LA,4 Bd/10 Person-Double,Female,172,2025-02-18 10:00:00,100.0
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,12,2025-02-18 10:00:00,100.0
Laurel,LA,4 Bd/10 Person-Double,Male,100,2025-02-18 10:00:00,100.0
Laurel,LA,4 Bd/10 Person-Triple,Female,258,2025-02-18 10:00:00,100.0
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,18,2025-02-18 10:00:00,100.0
Laurel,LA,4 Bd/10 Person-Triple,Male,150,2025-02-18 10:00:00,100.0
Landfair Apartments,LF,2 Bd/4 Person,Female,49,2025-02-18 10:00:00,49.0
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,3,2025-02-18 10:00:00,37.5
Landfair Apartments,LF,2 Bd/4 Person,Male,46,2025-02-18 10:00:00,82.1
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,3,2025-02-18 10:00:00,25.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2025-02-18 10:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,20,2025-02-18 10:00:00,100.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,12,2025-02-18 10:00:00,100.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,15,2025-02-18 10:00:00,100.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,9,2025-02-18 10:00:00,100.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,120,2025-02-18 10:00:00,100.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,8,2025-02-18 10:00:00,100.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,64,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,4,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2025-02-18 10:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2025-02-18 10:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,3,2025-02-18 10:00:00,10.7
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,4,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,3,2025-02-18 10:00:00,9.4
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,4,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,4,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,6,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,6,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,2,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,6,2025-02-18 10:00:00,100.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,17,2025-02-18 10:00:00,70.8
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2025-02-18 10:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Female,8,2025-02-18 10:00:00,100.0
Palo Verde,PV,2 Bd/4 Person,Male,4,2025-02-18 10:00:00,100.0
Palo Verde,PV,4 Bd/10 Person-Double,Female,96,2025-02-18 10:00:00,100.0
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,12,2025-02-18 10:00:00,100.0
Palo Verde,PV,4 Bd/10 Person-Double,Male,56,2025-02-18 10:00:00,100.0
Palo Verde,PV,4 Bd/10 Person-Triple,Female,144,2025-02-18 10:00:00,100.0
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,18,2025-02-18 10:00:00,100.0
Palo Verde,PV,4 Bd/10 Person-Triple,Male,84,2025-02-18 10:00:00,100.0
Tipuana,TN,2 Bd/4 Person,Female,56,2025-02-18 10:00:00,93.3
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,4,2025-02-18 10:00:00,100.0
Tipuana,TN,2 Bd/4 Person,Male,28,2025-02-18 10:00:00,87.5
Tipuana,TN,4 Bd/10 Person-Double,Female,196,2025-02-18 10:00:00,100.0
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,16,2025-02-18 10:00:00,100.0
Tipuana,TN,4 Bd/10 Person-Double,Male,120,2025-02-18 10:00:00,100.0
Tipuana,TN,4 Bd/10 Person-Triple,Female,294,2025-02-18 10:00:00,100.0
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,24,2025-02-18 10:00:00,100.0
Tipuana,TN,4 Bd/10 Person-Triple,Male,180,2025-02-18 10:00:00,100.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,33,2025-02-18 10:00:00,91.7
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,18,2025-02-18 10:00:00,100.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,108,2025-02-18 10:00:00,96.4
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,1,2025-02-18 10:00:00,12.5
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,72,2025-02-18 10:00:00,100.0
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,3,2025-02-18 10:00:00,100.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,17,2025-02-18 10:00:00,85.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2025-02-18 10:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,14,2025-02-18 10:00:00,100.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,28,2025-02-18 10:00:00,100.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2025-02-18 10:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,15,2025-02-18 10:00:00,93.8
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,292,2025-02-24 12:00:00,38.9
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,11,2025-02-24 12:00:00,33.3
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,70,2025-02-24 12:00:00,15.2
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,1,2025-02-24 12:00:00,100.0
De Neve Residence Hall,DN,Deluxe Triple,Female,50,2025-02-24 12:00:00,18.3
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,6,2025-02-24 12:00:00,18.2
De Neve Residence Hall,DN,Deluxe Triple,Male,15,2025-02-24 12:00:00,11.9
Dykstra Hall,DYK,Classic Triple,Female,362,2025-02-24 12:00:00,77.4
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2025-02-24 12:00:00,72.2
Dykstra Hall,DYK,Classic Triple,Male,204,2025-02-24 12:00:00,78.2
Hedrick Hall,HED,Classic Triple,Female,548,2025-02-24 12:00:00,93.2
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2025-02-24 12:00:00,100.0
Hedrick Hall,HED,Classic Triple,Male,361,2025-02-24 12:00:00,98.6
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,126,2025-02-24 12:00:00,47.7
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2025-02-24 12:00:00,5.6
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,6,2025-02-24 12:00:00,3.6
Olympic / Centennial,OC,Deluxe Triple,Female,62,2025-02-24 12:00:00,6.2
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,2025-02-24 12:00:00,17.3
Olympic / Centennial,OC,Deluxe Triple,Male,15,2025-02-24 12:00:00,2.5
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2025-02-24 12:00:00,0.0
Rieber Hall,RIE,Classic Triple,Female,496,2025-02-24 12:00:00,87.5
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2025-02-24 12:00:00,100.0
Rieber Hall,RIE,Classic Triple,Male,351,2025-02-24 12:00:00,92.1
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2025-02-24 12:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2025-02-24 12:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2025-02-24 12:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,147,2025-02-24 12:00:00,33.6
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,2025-02-24 12:00:00,69.4
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,82,2025-02-24 12:00:00,30.4
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2025-02-24 12:00:00,0.0
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2025-02-24 12:00:00,0.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,183,2025-02-24 12:00:00,44.9
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2025-02-24 12:00:00,86.7
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,152,2025-02-24 12:00:00,60.3
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,4,2025-02-24 12:00:00,100.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,34,2025-02-24 12:00:00,13.2
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,5,2025-02-24 12:00:00,3.3
Sproul Landing / Cove,SLC,Deluxe Triple,Female,35,2025-02-24 12:00:00,5.9
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,6,2025-02-24 12:00:00,13.3
Sproul Landing / Cove,SLC,Deluxe Triple,Male,14,2025-02-24 12:00:00,3.9
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2025-02-24 12:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2025-02-24 12:00:00,100.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,375,2025-02-24 12:00:00,90.6
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2025-02-24 12:00:00,100.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,241,2025-02-24 12:00:00,95.6
Sproul Hall,SPR,Classic Triple,Female,350,2025-02-24 12:00:00,60.4
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2025-02-24 12:00:00,72.5
Sproul Hall,SPR,Classic Triple,Male,226,2025-02-24 12:00:00,61.2
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2025-02-24 12:00:00,0.0
Sunset Village,SV,Plaza Triple/Private Bath,Female,176,2025-02-24 12:00:00,34.7
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,12,2025-02-24 12:00:00,30.8
Sunset Village,SV,Plaza Triple/Private Bath,Male,45,2025-02-24 12:00:00,14.6
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2025-02-24 12:00:00,40.0
Sunset Village,SV,Plaza Triple/Shared Bath,Female,176,2025-02-24 12:00:00,38.6
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,10,2025-02-24 12:00:00,27.8
Sunset Village,SV,Plaza Triple/Shared Bath,Male,170,2025-02-24 12:00:00,60.3
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2025-02-24 12:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2025-02-24 12:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2025-02-24 12:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2025-02-24 12:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2025-02-24 12:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2025-02-24 12:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2025-02-24 12:00:00,33.3
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2025-02-24 12:00:00,0.0
Laurel,LA,2 Bd/4 Person,Female,0,2025-02-24 12:00:00,0.0
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Laurel,LA,2 Bd/4 Person,Male,0,2025-02-24 12:00:00,0.0
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2025-02-24 12:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Female,0,2025-02-24 12:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 12:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Male,0,2025-02-24 12:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2025-02-24 12:00:00,0.0
Laurel,LA,4 Bd/10 Person-Triple,Female,41,2025-02-24 12:00:00,15.9
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 12:00:00,0.0
