Last_Updated,Room_Type,Available_Bed_Spaces,Percent_Left
2025-02-18 15:00:00,Plaza Triple/Shared Bath,2828,0.9738292011019284
2025-02-18 15:00:00,Suite Triple/Shared Bath,794,0.906392694063927
2025-02-18 16:00:00,1 Bd/3 Person,3,0.025
2025-02-18 16:00:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-18 16:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-18 16:00:00,2 Bd/3 Person-Double,1,0.02
2025-02-18 16:00:00,2 Bd/4 Person,13,0.01152482269503546
2025-02-18 16:00:00,2 Bd/5 Person-Double,0,0.0
2025-02-18 16:00:00,2 Bd/5 Person-Triple,0,0.0
2025-02-18 16:00:00,2 Bd/6 Person,27,0.04054054054054054
2025-02-18 16:00:00,2 Bd/7 Person-Quad,42,0.3888888888888889
2025-02-18 16:00:00,2 Bd/7 Person-Triple,35,0.43209876543209874
2025-02-18 16:00:00,2 Bd/8 Person,176,0.9166666666666666
2025-02-18 16:00:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-18 16:00:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-18 16:00:00,3 Bd/6 Person,0,0.0
2025-02-18 16:00:00,3 Bd/8 Person-Double,0,0.0
2025-02-18 16:00:00,3 Bd/8 Person-Triple,6,0.5
2025-02-18 16:00:00,4 Bd/10 Person-Double,712,0.7928730512249443
2025-02-18 16:00:00,4 Bd/10 Person-Triple,1226,0.9081481481481481
2025-02-18 16:00:00,Classic Triple,3651,0.970494417862839
2025-02-18 16:00:00,Deluxe Triple,2659,0.8547090967534555
2025-02-18 16:00:00,Plaza Triple/Private Bath,1961,0.9154995331465919
2025-02-18 16:00:00,Plaza Triple/Shared Bath,2825,0.9727961432506887
2025-02-18 16:00:00,Suite Triple/Shared Bath,785,0.8961187214611872
2025-02-19 09:00:00,1 Bd/3 Person,3,0.025
2025-02-19 09:00:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-19 09:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-19 09:00:00,2 Bd/3 Person-Double,1,0.02
2025-02-19 09:00:00,2 Bd/4 Person,13,0.01152482269503546
2025-02-19 09:00:00,2 Bd/5 Person-Double,0,0.0
2025-02-19 09:00:00,2 Bd/5 Person-Triple,0,0.0
2025-02-19 09:00:00,2 Bd/6 Person,27,0.04054054054054054
2025-02-19 09:00:00,2 Bd/7 Person-Quad,42,0.3888888888888889
2025-02-19 09:00:00,2 Bd/7 Person-Triple,35,0.43209876543209874
