Last_Updated,Building,Available_Bed_Spaces,Percent_Left
2025-02-19 10:01:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-19 10:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 10:01:00,Hedrick Summit,690,0.9913793103448276
2025-02-19 10:01:00,Hitch Suites,448,0.9955555555555555
2025-02-19 10:01:00,Landfair Apartments,0,0.0
2025-02-19 10:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 10:01:00,Laurel,608,0.793733681462141
2025-02-19 10:01:00,Levering Terrace Apartments,183,0.6802973977695167
2025-02-19 10:01:00,Olympic / Centennial,1479,0.8835125448028673
2025-02-19 10:01:00,Palo Verde,341,0.8080568720379147
2025-02-19 10:01:00,Rieber Hall,979,0.9829317269076305
2025-02-19 10:01:00,Rieber Terrace,725,0.9294871794871795
2025-02-19 10:01:00,Rieber Vista,660,0.9482758620689655
2025-02-19 10:01:00,Saxon Suites,309,0.7253521126760564
2025-02-19 10:01:00,Sproul Hall,917,0.9179179179179179
2025-02-19 10:01:00,Sproul Landing / Cove,729,0.7253731343283583
2025-02-19 10:01:00,Sunset Village,1519,0.9324739103744628
2025-02-19 10:01:00,Tipuana,697,0.7526997840172787
2025-02-19 10:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 10:01:00,Westwood Palms Apartments,0,0.0
2025-02-19 11:01:00,De Neve Plaza,1124,0.9028112449799197
2025-02-19 11:01:00,De Neve Residence Hall,400,0.9259259259259259
2025-02-19 11:01:00,Dykstra Hall,750,0.9803921568627451
2025-02-19 11:01:00,Gayley Court Apartments,2,0.007246376811594203
2025-02-19 11:01:00,Gayley Heights,38,0.03264604810996564
2025-02-19 11:01:00,Glenrock Apartments,0,0.0
2025-02-19 11:01:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-19 11:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 11:01:00,Hedrick Summit,689,0.9899425287356322
2025-02-19 11:01:00,Hitch Suites,442,0.9822222222222222
2025-02-19 11:01:00,Landfair Apartments,0,0.0
2025-02-19 11:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 11:01:00,Laurel,565,0.737597911227154
2025-02-19 11:01:00,Levering Terrace Apartments,154,0.5724907063197026
2025-02-19 11:01:00,Olympic / Centennial,1465,0.8751493428912783
2025-02-19 11:01:00,Palo Verde,317,0.7511848341232228
2025-02-19 11:01:00,Rieber Hall,979,0.9829317269076305
2025-02-19 11:01:00,Rieber Terrace,724,0.9282051282051282
2025-02-19 11:01:00,Rieber Vista,660,0.9482758620689655
2025-02-19 11:01:00,Saxon Suites,295,0.6924882629107981
2025-02-19 11:01:00,Sproul Hall,916,0.9169169169169169
2025-02-19 11:01:00,Sproul Landing / Cove,694,0.690547263681592
2025-02-19 11:01:00,Sunset Village,1483,0.9103744628606507
2025-02-19 11:01:00,Tipuana,630,0.6803455723542117
2025-02-19 11:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 11:01:00,Westwood Palms Apartments,0,0.0
2025-02-19 12:01:00,De Neve Plaza,1118,0.8979919678714859
2025-02-19 12:01:00,De Neve Residence Hall,399,0.9236111111111112
2025-02-19 12:01:00,Dykstra Hall,749,0.9790849673202614
2025-02-19 12:01:00,Gayley Court Apartments,2,0.007246376811594203
2025-02-19 12:01:00,Gayley Heights,18,0.015463917525773196
2025-02-19 12:01:00,Glenrock Apartments,0,0.0
2025-02-19 12:01:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-19 12:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 12:01:00,Hedrick Summit,688,0.9885057471264368
2025-02-19 12:01:00,Hitch Suites,442,0.9822222222222222
2025-02-19 12:01:00,Landfair Apartments,0,0.0
2025-02-19 12:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 12:01:00,Laurel,510,0.6657963446475196
2025-02-19 12:01:00,Levering Terrace Apartments,102,0.379182156133829
2025-02-19 12:01:00,Olympic / Centennial,1429,0.8536439665471923
2025-02-19 12:01:00,Palo Verde,284,0.6729857819905213
2025-02-19 12:01:00,Rieber Hall,979,0.9829317269076305
2025-02-19 12:01:00,Rieber Terrace,719,0.9217948717948717
2025-02-19 12:01:00,Rieber Vista,659,0.9468390804597702
2025-02-19 12:01:00,Saxon Suites,293,0.687793427230047
2025-02-19 12:01:00,Sproul Hall,913,0.913913913913914
2025-02-19 12:01:00,Sproul Landing / Cove,673,0.6696517412935323
2025-02-19 12:01:00,Sunset Village,1463,0.898096992019644
2025-02-19 12:01:00,Tipuana,578,0.6241900647948164
2025-02-19 12:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 12:01:00,Westwood Palms Apartments,0,0.0
2025-02-19 13:01:00,De Neve Plaza,1083,0.8698795180722891
2025-02-19 13:01:00,De Neve Residence Hall,393,0.9097222222222222
2025-02-19 13:01:00,Dykstra Hall,749,0.9790849673202614
2025-02-19 13:01:00,Gayley Court Apartments,0,0.0
2025-02-19 13:01:00,Gayley Heights,8,0.006872852233676976
2025-02-19 13:01:00,Glenrock Apartments,0,0.0
2025-02-19 13:01:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-19 13:01:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 13:01:00,Hedrick Summit,688,0.9885057471264368
2025-02-19 13:01:00,Hitch Suites,432,0.96
2025-02-19 13:01:00,Landfair Apartments,0,0.0
2025-02-19 13:01:00,Landfair Vista Apartments,0,0.0
2025-02-19 13:01:00,Laurel,455,0.5939947780678851
2025-02-19 13:01:00,Levering Terrace Apartments,77,0.2862453531598513
2025-02-19 13:01:00,Olympic / Centennial,1405,0.8393070489844683
2025-02-19 13:01:00,Palo Verde,258,0.6113744075829384
2025-02-19 13:01:00,Rieber Hall,978,0.9819277108433735
2025-02-19 13:01:00,Rieber Terrace,713,0.9141025641025641
2025-02-19 13:01:00,Rieber Vista,658,0.9454022988505747
2025-02-19 13:01:00,Saxon Suites,262,0.6150234741784038
2025-02-19 13:01:00,Sproul Hall,907,0.9079079079079079
2025-02-19 13:01:00,Sproul Landing / Cove,643,0.6398009950248756
2025-02-19 13:01:00,Sunset Village,1454,0.892572130141191
2025-02-19 13:01:00,Tipuana,545,0.5885529157667386
2025-02-19 13:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 13:01:00,Westwood Palms Apartments,0,0.0
2025-02-19 14:01:00,De Neve Plaza,1064,0.8546184738955823
2025-02-19 14:01:00,De Neve Residence Hall,387,0.8958333333333334
2025-02-19 14:01:00,Dykstra Hall,744,0.9725490196078431
2025-02-19 14:01:00,Gayley Court Apartments,0,0.0
2025-02-19 14:01:00,Gayley Heights,0,0.0
2025-02-19 14:01:00,Glenrock Apartments,0,0.0
2025-02-19 14:01:00,Glenrock West Apartments,3,0.02857142857142857
